latitude,longitude,TVD_FT,MD_FT,OilGravity_API,3MonthProd,6MonthProd,9MonthProd,12MonthProd,36MonthProd,FirstProdYear
28.094445,-99.737271,8495,14295.0,63.0,82153.0,141298.0,178257.0,206427.0,298057.0,2012.0
28.226897,-99.69807,8169,13000.0,58.0,22891.0,38531.0,40962.0,45548.0,73233.0,2012.0
28.097467,-99.827301,8212,15698.0,62.0,42463.0,46616.0,78980.0,130904.0,518577.0,2010.0
28.305388,-99.717927,8115,13370.0,56.0,31838.0,64732.0,90106.0,113564.0,231269.0,2015.0
28.172986,-99.734107,8462,14075.0,63.0,51632.0,106766.0,145685.0,180130.0,332085.0,2012.0
28.120466,-99.823259,8198,12780.0,64.0,825.0,57570.0,106292.0,143625.0,311068.0,2010.0
28.189497,-99.722255,8430,14845.0,61.0,56765.0,111774.0,149316.0,173110.0,300657.0,2014.0
28.076179,-99.780212,8437,14360.0,64.0,67597.0,121243.0,159141.0,183334.0,309086.0,2014.0
28.261093,-99.782785,8039,13186.0,61.0,59355.0,92246.0,121820.0,145182.0,229954.0,2014.0
28.101183,-99.967452,7049,15486.0,55.0,19583.0,29114.0,35248.0,41326.0,60933.0,2015.0
27.997814,-99.898335,7846,16372.0,34.0,56342.0,99212.0,127105.0,149172.0,243586.0,2017.0
28.278486,-99.006153,11360,17302.0,65.0,63736.0,143521.0,199881.0,240061.0,418360.0,2013.0
28.369937,-98.505437,12172,17940.0,57.0,23553.0,60027.0,87579.0,104280.0,156305.0,2013.0
28.944542,-97.616336,13990,19600.0,64.0,120383.0,192964.0,235169.0,264579.0,369945.0,2015.0
28.144319,-99.663802,8728,14543.0,58.0,10493.0,63450.0,105172.0,140932.0,271693.0,2012.0
28.408525,-98.376582,13281,18544.0,56.0,115186.0,224947.0,322535.0,407051.0,734681.0,2012.0
28.023969,-99.903027,7820,12889.0,66.0,37566.0,98397.0,139605.0,153959.0,278631.0,2013.0
28.209761,-99.750367,8328,13803.0,66.0,31627.0,83482.0,124558.0,155233.0,276119.0,2012.0
28.370883,-99.403294,8500,14100.0,50.0,13725.0,45634.0,65067.0,75643.0,111280.0,2012.0
28.175238,-99.674007,8554,14695.0,62.0,43431.0,78365.0,108644.0,134065.0,258663.0,2015.0
28.122695,-99.660713,9097,13828.0,65.0,64187.0,110732.0,117690.0,133448.0,300939.0,2010.0
28.219953,-99.733803,8292,11850.0,66.0,38132.0,52315.0,67947.0,80555.0,115517.0,2014.0
28.303618,-98.998095,11132,16773.0,66.0,47299.0,64472.0,79862.0,96209.0,148616.0,2013.0
28.613264,-98.153566,12862,18233.0,57.0,53219.0,87383.0,109887.0,125047.0,172421.0,2015.0
28.286023,-99.163232,10145,14785.0,68.0,34137.0,50594.0,59986.0,67963.0,94197.0,2014.0
28.099778,-99.689643,8553,14350.0,66.0,53746.0,68349.0,74099.0,80057.0,102998.0,2014.0
28.77446,-97.882052,12942,18402.0,61.0,48445.0,84121.0,106246.0,123826.0,201841.0,2011.0
28.152093,-99.603076,8809,14979.0,55.0,75144.0,127116.0,158869.0,182009.0,268917.0,2017.0
28.292655,-99.708481,8129,13115.0,56.0,26602.0,49395.0,63707.0,73911.0,140930.0,2013.0
28.174733,-99.470634,9606,15712.0,63.0,25775.0,31604.0,40273.0,47583.0,88849.0,2012.0
28.199736,-99.79071,8185,11256.0,66.0,30420.0,49252.0,59099.0,70247.0,120141.0,2014.0
28.292318,-99.036293,10790,17027.0,65.0,40194.0,83869.0,117141.0,135421.0,237830.0,2015.0
28.293805,-99.727783,8133,15269.0,53.0,31839.0,78965.0,117980.0,152268.0,320014.0,2014.0
28.801808,-97.818398,13216,18360.0,61.0,62689.0,126657.0,173251.0,207934.0,342525.0,2014.0
28.110351,-99.672658,9084,14605.0,63.0,24039.0,92230.0,165539.0,221871.0,508422.0,2011.0
28.309015,-99.034557,10601,18318.0,58.0,13139.0,13139.0,65477.0,133938.0,298621.0,2012.0
28.169422,-99.681427,8415,15971.0,58.0,25915.0,66330.0,96178.0,117839.0,237969.0,2013.0
28.951703,-97.579935,14190,17865.0,62.0,9808.0,72048.0,78299.0,94054.0,166234.0,2011.0
28.094278,-99.700368,8731,14679.0,61.0,89688.0,144737.0,185455.0,216233.0,328664.0,2014.0
28.07737,-99.663474,9209,14604.0,66.0,63948.0,153923.0,224591.0,280434.0,439466.0,2011.0
28.0244,-99.888015,8022,12948.0,67.0,61120.0,98919.0,143532.0,152311.0,295588.0,2013.0
28.199905,-99.718426,8388,13830.0,66.0,46017.0,91026.0,115227.0,141341.0,196928.0,2013.0
28.364991,-99.481152,7950,12986.0,47.0,9120.0,25693.0,44239.0,64523.0,133239.0,2011.0
28.193565,-99.518838,9385,18329.0,56.0,80340.0,127822.0,160373.0,181641.0,288660.0,2017.0
28.336366,-98.865352,10785,17079.0,58.0,57227.0,79226.0,96543.0,107105.0,197256.0,2018.0
28.336366,-98.865398,10827,16880.0,55.0,139736.0,214387.0,268729.0,308353.0,495601.0,2018.0
28.613974,-98.151565,13007,18504.0,62.0,134293.0,189991.0,222344.0,248412.0,336087.0,2018.0
28.115714,-99.773765,8235,14425.0,59.0,105864.0,175243.0,205692.0,232929.0,392240.0,2018.0
28.006032,-99.926237,8076,18331.0,60.0,113002.0,234937.0,319198.0,383014.0,665552.0,2018.0
29.028006,-97.522806,13501,19594.0,67.0,66893.0,124095.0,158029.0,182385.0,263675.0,2015.0
28.300673,-98.861499,11439,16511.0,59.9,60335.0,140412.0,184757.0,212988.0,343211.0,2017.0
28.735562,-97.973075,12809,19347.0,61.0,58544.0,99149.0,136905.0,173624.0,303870.0,2013.0
28.120602,-99.6788,8817,13734.0,64.0,50993.0,104278.0,151960.0,193138.0,410206.0,2014.0
28.192881,-99.753331,8317,12541.0,66.0,32355.0,73014.0,95387.0,119603.0,184547.0,2014.0
28.143386,-99.827402,7963,14582.0,56.0,9359.0,56364.0,87055.0,117113.0,239683.0,2013.0
28.199194,-99.738823,8317,13666.0,70.6,44744.0,88129.0,118988.0,149627.0,237953.0,2013.0
28.29673,-99.722986,8102,15155.0,58.0,27505.0,79142.0,124989.0,159722.0,339314.0,2014.0
28.710159,-98.045988,12735,20390.0,60.0,23012.0,63679.0,136506.0,203024.0,464423.0,2014.0
28.069216,-99.749596,8616,15618.0,62.0,167292.0,253085.0,283485.0,302351.0,499198.0,2015.0
28.072653,-99.739972,8656,16250.0,59.0,58153.0,135117.0,194547.0,242733.0,411781.0,2015.0
28.368589,-98.505108,12641,17850.0,56.0,78290.0,126022.0,154170.0,180249.0,294952.0,2013.0
28.214903,-99.820226,8046,21397.0,59.0,40955.0,89321.0,124691.0,147116.0,280861.0,2016.0
28.659368,-98.087807,12810,17407.0,64.0,38272.0,86691.0,128666.0,162902.0,282090.0,2013.0
28.129612,-99.981021,6830,11820.0,56.0,29825.0,55643.0,71971.0,86544.0,155443.0,2010.0
28.152117,-99.602887,8821,15496.0,55.0,57406.0,107684.0,135891.0,157222.0,235332.0,2017.0
27.997302,-99.9263,8039,18097.0,57.0,116341.0,245961.0,332170.0,395683.0,661641.0,2018.0
28.078834,-99.665087,9295,15903.0,61.0,109068.0,191744.0,239676.0,275842.0,440492.0,2018.0
28.091698,-99.783622,8416,13573.0,59.0,66398.0,137147.0,191711.0,229765.0,367385.0,2010.0
28.167722,-99.510701,9642,16200.0,59.0,48641.0,101396.0,139024.0,167794.0,279287.0,2016.0
28.082558,-99.72554,8848,16055.0,58.0,157812.0,318620.0,425398.0,518050.0,926288.0,2017.0
28.215708,-99.682921,8232,14900.0,60.0,21398.0,48148.0,74456.0,94390.0,169531.0,2013.0
28.148954,-99.478936,9798,14538.0,64.0,33992.0,62698.0,84680.0,101685.0,199098.0,2013.0
28.766233,-97.936264,12829,17984.0,59.0,43799.0,82023.0,106324.0,123715.0,188370.0,2011.0
28.100346,-99.72764,8550,14323.0,59.0,63404.0,119006.0,156854.0,183010.0,265176.0,2012.0
28.946414,-97.608539,13878,19850.0,63.0,83246.0,169384.0,221597.0,255091.0,372453.0,2013.0
28.216571,-99.704681,8237,14345.0,60.0,54398.0,100965.0,133181.0,160043.0,274881.0,2015.0
28.301769,-98.924408,11373,15924.0,66.0,54025.0,103227.0,139424.0,168093.0,288757.0,2015.0
28.742057,-97.943083,12953,17434.0,65.0,23725.0,66607.0,99367.0,129202.0,213677.0,2015.0
29.206638,-97.296656,13516,19092.0,58.0,31242.0,39950.0,49480.0,62871.0,111702.0,2013.0
28.256851,-99.661644,8111,15075.0,57.0,41170.0,76667.0,102016.0,123644.0,200191.0,2015.0
28.292566,-99.720594,8013,14680.0,56.0,49873.0,108186.0,150572.0,181051.0,328231.0,2015.0
28.021721,-99.721746,8940,15511.0,67.0,86323.0,190067.0,291300.0,380580.0,805427.0,2013.0
28.04894,-99.70475,8895,15094.0,66.0,48128.0,106022.0,155560.0,191753.0,364321.0,2013.0
28.138106,-99.657747,8763,11990.0,59.0,40185.0,90626.0,129372.0,157752.0,281388.0,2014.0
28.835546,-97.788792,13423,19001.0,61.0,62522.0,137877.0,189577.0,228004.0,316681.0,2012.0
28.318315,-98.627992,12294,17645.0,62.0,45491.0,89784.0,120340.0,141924.0,219241.0,2012.0
28.365197,-99.481099,7942,13981.0,45.0,8701.0,39610.0,57921.0,80959.0,183280.0,2011.0
28.14437,-99.460233,9867,15063.0,66.0,30674.0,45423.0,54939.0,61200.0,84064.0,2011.0
28.079213,-99.984988,7001,12840.0,59.0,22889.0,33888.0,41692.0,47534.0,57289.0,2010.0
28.01271,-99.903841,7847,12541.0,70.0,59563.0,141368.0,191577.0,209452.0,363693.0,2012.0
28.278719,-100.205746,5432,9664.0,45.0,4600.0,8007.0,11993.0,16437.0,42621.0,2011.0
28.05887,-99.963663,7230,12783.0,66.0,33844.0,76343.0,107433.0,131792.0,244672.0,2010.0
28.267012,-99.713332,8072,13873.0,63.0,22205.0,40765.0,78957.0,88848.0,214511.0,2012.0
28.182018,-99.572098,9125,14121.0,58.0,21603.0,40081.0,42382.0,50346.0,83344.0,2013.0
28.072488,-99.588014,9687,15922.0,71.0,26128.0,57305.0,57305.0,57305.0,178969.0,2011.0
28.76404,-97.987383,12433,18733.0,58.0,56284.0,94968.0,121688.0,144146.0,234608.0,2015.0
28.909783,-97.70582,13675,20720.0,60.0,58663.0,111720.0,149915.0,177237.0,271113.0,2015.0
28.127975,-99.782067,8330,13952.0,65.0,33795.0,64724.0,89357.0,109888.0,203174.0,2014.0
29.009474,-97.559003,13710,19860.0,62.0,57122.0,107506.0,146068.0,179952.0,291495.0,2015.0
28.330103,-98.956023,10977,16872.0,58.0,59076.0,130687.0,185612.0,225649.0,351720.0,2011.0
28.287855,-99.743803,8097,13280.0,57.0,43946.0,80549.0,104389.0,122264.0,186371.0,2016.0
28.290499,-99.06118,10694,16730.0,60.0,36798.0,104487.0,146899.0,188870.0,320284.0,2017.0
29.870042,-96.709494,13818,20129.0,55.0,150984.0,265167.0,362053.0,414391.0,646654.0,2018.0
28.167719,-99.510657,9567,16280.0,58.0,43985.0,96487.0,137682.0,171222.0,306951.0,2016.0
28.061628,-99.765774,8801,16994.0,61.0,248978.0,459069.0,629681.0,763746.0,1293614.0,2017.0
28.168308,-99.519149,9566,16200.0,59.0,53274.0,117960.0,159445.0,187617.0,309440.0,2016.0
28.438986,-98.378287,13247,17845.0,66.0,77436.0,150656.0,218802.0,265899.0,478266.0,2012.0
28.081208,-99.612939,9455,17416.0,66.0,81716.0,153129.0,216951.0,252897.0,393279.0,2014.0
28.071313,-99.963049,7232,12835.0,58.0,37639.0,63297.0,81894.0,95449.0,161644.0,2010.0
28.191713,-99.718468,8306,12865.0,62.0,28749.0,59890.0,82036.0,97507.0,177119.0,2015.0
28.132577,-99.916743,7629,14717.0,57.0,50729.0,87182.0,107741.0,128169.0,221750.0,2014.0
28.806598,-97.819945,13184,19244.0,63.0,26237.0,69510.0,105600.0,136248.0,254692.0,2013.0
28.1747,-99.47075,9733,15110.0,61.0,6821.0,6821.0,6821.0,11459.0,72595.0,2011.0
28.364906,-98.414979,13386,18806.0,48.0,46766.0,82279.0,105030.0,121250.0,181086.0,2012.0
28.239629,-99.818483,7921,13182.0,58.0,170.0,170.0,170.0,2898.0,42951.0,2013.0
28.109722,-99.741667,8497,14587.0,62.0,73411.0,133218.0,170037.0,196950.0,323056.0,2011.0
28.171955,-99.608064,8580,15384.0,59.0,16098.0,17434.0,31614.0,35735.0,84092.0,2013.0
28.037906,-99.725957,8847,14470.0,69.0,66225.0,152032.0,193829.0,260607.0,578423.0,2013.0
28.542068,-98.175727,12986,19060.0,62.0,29455.0,29455.0,29455.0,60191.0,175475.0,2012.0
28.149621,-99.697609,8642,14109.0,39.0,17749.0,58924.0,89733.0,119244.0,254224.0,2012.0
28.931574,-97.621562,13930,19670.0,62.0,77200.0,144474.0,178480.0,202086.0,297389.0,2014.0
28.267005,-99.229417,9885,15900.0,58.0,49609.0,86640.0,118175.0,138989.0,232026.0,2013.0
28.615802,-98.141392,13030,18653.0,65.0,58488.0,115990.0,146471.0,171722.0,251418.0,2017.0
28.047296,-99.821663,8432,14830.0,59.0,35571.0,75471.0,116683.0,163387.0,488711.0,2018.0
29.89734,-96.713013,13328,19604.0,52.0,131517.0,189048.0,256933.0,306979.0,495491.0,2019.0
28.271911,-99.165284,10168,14590.0,58.0,3904.0,43997.0,62656.0,75395.0,114868.0,2010.0
28.30055,-99.473173,8543,15137.0,51.0,27706.0,58807.0,90179.0,117028.0,252505.0,2015.0
28.871389,-97.732834,13519,19202.0,59.0,44849.0,103560.0,140336.0,165916.0,209772.0,2016.0
28.168302,-99.519057,9612,16310.0,60.0,63949.0,137965.0,185252.0,203062.0,263953.0,2016.0
27.99773,-99.898448,7859,16682.0,60.0,59850.0,99312.0,120533.0,134952.0,172958.0,2017.0
28.168746,-99.656596,8489,14402.0,59.0,50651.0,94698.0,129437.0,157539.0,287472.0,2015.0
28.116933,-99.778507,8334,14120.0,66.0,61508.0,106824.0,127484.0,148001.0,242099.0,2011.0
28.316007,-98.945928,11093,14996.0,59.0,58321.0,104009.0,136597.0,167374.0,277942.0,2012.0
28.022422,-99.697865,9112,14537.0,65.0,88320.0,177944.0,250280.0,311137.0,575515.0,2012.0
28.923893,-97.635495,13908,19075.0,61.0,36804.0,84709.0,118842.0,144102.0,222863.0,2015.0
28.192415,-99.78018,8211,12996.0,67.0,46308.0,102470.0,106239.0,122389.0,249157.0,2014.0
28.296791,-99.723108,8106,15154.0,57.0,28053.0,86829.0,132276.0,169391.0,361281.0,2014.0
28.223388,-99.715944,8311,12869.0,67.0,39722.0,62927.0,73350.0,85365.0,139846.0,2013.0
29.019116,-97.543504,13750,16954.0,62.0,42928.0,75465.0,96561.0,111493.0,169257.0,2012.0
28.445631,-98.385476,13063,19582.0,64.0,79802.0,147816.0,209264.0,261026.0,436540.0,2013.0
28.899234,-97.710585,13764,20275.0,62.0,43019.0,85101.0,117548.0,140596.0,250767.0,2015.0
28.013572,-99.762277,8929,14800.0,67.0,75706.0,145374.0,200692.0,252239.0,537355.0,2015.0
28.112018,-99.63901,9130,16450.0,64.0,47421.0,118503.0,156286.0,182392.0,273052.0,2012.0
28.154047,-99.467795,9895,16468.0,58.8,50737.0,75339.0,91067.0,100549.0,131210.0,2011.0
28.026261,-99.905387,8111,16647.0,64.0,75367.0,159574.0,224162.0,279120.0,536388.0,2014.0
28.945056,-97.640309,14058,18023.0,59.6,115261.0,170169.0,209358.0,237264.0,370544.0,2010.0
28.169024,-99.539289,9114,16045.0,57.0,41688.0,68147.0,85699.0,100310.0,160707.0,2017.0
28.056741,-99.999526,6786,15193.0,55.0,26689.0,48646.0,67881.0,76622.0,125177.0,2015.0
28.299479,-99.868492,7486,13630.0,55.0,57439.0,84464.0,102270.0,114399.0,162687.0,2017.0
28.262198,-99.407057,9192,15760.0,54.0,43144.0,88476.0,124696.0,149822.0,253086.0,2015.0
29.205869,-97.311053,13617,17775.0,62.0,38312.0,64624.0,82166.0,94242.0,140644.0,2011.0
28.072098,-99.6282,9487,17155.0,65.0,66839.0,138055.0,191720.0,231582.0,400195.0,2014.0
28.103525,-99.722291,8549,14286.0,68.0,76546.0,129864.0,163146.0,188194.0,271115.0,2013.0
28.04254,-99.68703,9038,15094.0,63.0,103105.0,182203.0,240126.0,290708.0,519105.0,2015.0
28.735563,-97.973169,12649,17930.0,61.0,57258.0,104655.0,140898.0,167021.0,279398.0,2013.0
28.166108,-99.448564,9902,16325.0,56.0,43762.0,70284.0,82198.0,92471.0,126351.0,2011.0
28.19548,-99.774891,8222,14619.0,65.0,55030.0,84778.0,103135.0,124618.0,236722.0,2014.0
28.387886,-98.437995,13008,18106.0,64.0,84605.0,165189.0,235328.0,275730.0,395305.0,2012.0
28.167498,-99.796718,8227,13026.0,64.0,38195.0,70186.0,93220.0,112445.0,186609.0,2013.0
28.201451,-99.728011,8353,13511.0,64.0,38554.0,64083.0,91720.0,112263.0,194044.0,2014.0
28.749888,-97.930141,12933,18616.0,64.0,27799.0,49818.0,63556.0,72936.0,107940.0,2012.0
28.296937,-99.833109,7784,13269.0,57.0,14097.0,28753.0,40088.0,46303.0,70318.0,2013.0
28.10773,-99.747908,8480,14323.0,60.0,64735.0,120818.0,151517.0,161828.0,262017.0,2011.0
28.212392,-99.688195,8350,13848.0,65.0,33108.0,67489.0,98071.0,117489.0,150246.0,2011.0
28.16331,-99.736384,8493,14211.0,62.0,52244.0,97949.0,131167.0,158428.0,269265.0,2014.0
28.138846,-99.824411,8145,13383.0,58.0,54142.0,73505.0,99454.0,129937.0,227187.0,2013.0
28.593715,-98.181261,13042,17752.0,56.0,52812.0,112189.0,161371.0,207885.0,346842.0,2012.0
28.267022,-99.25095,9763,15453.0,62.0,50249.0,84860.0,113654.0,136887.0,231584.0,2012.0
28.101401,-99.612651,9410,16635.0,66.0,62903.0,107729.0,128820.0,155507.0,260075.0,2014.0
28.309602,-99.773418,7930,15381.0,47.0,24962.0,42897.0,55031.0,64939.0,115656.0,2014.0
28.073643,-99.732092,8654,17338.0,58.0,252446.0,409705.0,559729.0,663755.0,904544.0,2015.0
28.182363,-99.767051,8254,13223.0,68.0,24326.0,57892.0,81758.0,89524.0,168005.0,2013.0
28.612805,-98.155223,12902,18525.0,60.0,104130.0,190906.0,215696.0,232692.0,267817.0,2015.0
28.208288,-99.30914,9898,16301.0,68.0,39727.0,66945.0,85742.0,85999.0,292853.0,2011.0
