temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,angle_of_incidence,azimuth,generated_power_kw
2.17,31,1035,0,0,6.37,312.71,58.753108,128.33543,454.10095
2.31,27,1035.1,0,0,5.15,294.78,45.408585,139.6553,1411.9994
3.65,33,1035.4,0,0,4.68,270,32.848282,152.53769,2214.8493
5.82,30,1035.4,0,0,3.6,323.13,22.699288,166.90159,2527.6092
7.73,27,1034.4,0,0,6.21,10.01,19.199908,182.13526,2640.2034
8.69,29,1034.6,0,0,6.29,23.63,25.088167,197.22062,2546.0816
9.72,27,1034,0,0,5.96,25.02,36.197514,211.21422,2270.3207
10.07,28,1034.1,0,0,7.07,14.74,49.073008,223.65641,1063.8302
9.38,32,1033.9,0,0,9.42,6.58,62.37114,234.50308,86.817611
6.54,47,1035.1,0,0,7.92,360,105.86656,216.06756,9.6666667
2.18,24,1038.5,0,0,7.15,229.09,58.845824,128.19736,513.90842
2.41,25,1038.4,0,0,7.7,232.59,45.485379,139.51405,1076.7197
4.21,33,1039.3,0,0,6.49,236.31,32.896851,152.39916,1018.7148
6.9,36,1039,0,0,3.96,270,22.691118,166.76722,2307.0852
9.29,30,1037.6,0,0,6.49,19.44,19.107739,182.12489,2261.3353
11.86,26,1036.5,0,0,5.69,18.43,24.953054,197.12913,1706.41
12.47,26,1036.5,0,0,9.11,18.43,36.063181,211.15002,1385.8102
11.99,30,1036.7,0,0,10.83,15.42,48.947246,223.61621,547.77553
11.32,33,1036.5,0,0,10.93,17.24,62.1479,234.39741,61.566961
3.77,35,1039.1,0,0,6.99,235.49,58.9765,128.02444,419.20845
4.01,36,1039.6,0,0,6.83,251.57,45.55898,139.36964,1371.9036
6.66,34,1039.7,0,0,5.41,266.19,32.941458,152.25258,2154.5695
9.29,40,1038.3,0,0,2.97,284.04,22.67679,166.63244,2456.0311
12.26,33,1037.5,0,0,4.84,318.01,19.004469,181.90286,2536.1985
13.77,30,1036.6,0,0,5.51,348.69,24.813234,197.04081,2462.3889
14.43,30,1036.6,0,0,7.59,354.56,35.926593,211.09034,2202.6894
14.58,30,1036.4,0,0,9.01,357.71,48.820772,223.58144,1046.8986
14.04,32,1036.6,0,0,9.37,357.8,62.14581,234.4662,88.940216
4.25,30,1038.8,0,0,6.61,209.36,59.024684,127.90935,418.46229
4.28,31,1038.6,0,0,6.3,210.96,45.734575,139.12312,1300.4193
5.76,35,1038.4,0,0,5.5,211.61,32.981515,152.10722,2143.0744
8.47,40,1037.1,0,0,1.8,233.13,22.656758,166.49739,2436.7275
11.34,33,1035.3,0,0,2.9,29.74,18.896941,181.78886,2534.3489
12.25,29,1034.3,0,0,7.79,33.69,24.669091,196.95568,2477.8934
12.6,30,1033.5,0,0,9.51,29.48,35.787961,211.03516,2206.8945
12.66,31,1033.5,0,0,6.7,36.25,48.693732,223.55205,1040.8729
12.4,33,1032.7,0,0,7.59,31.43,62.033585,234.45672,93.423875
1.92,73,1034.2,0,0,15.48,178.67,59.11072,127.75963,425.30454
1.51,80,1035.2,0,0,15.86,177.4,45.676492,139.09168,1355.1012
4.38,76,1034.8,0,0,15.5,177.34,33.017211,151.96007,2122.2185
7.8,67,1032.8,0,0,16.24,176.19,22.630859,166.3621,2430.8578
10.07,58,1031.7,0,0,14.47,174.29,18.782814,181.67644,2549.7753
12.65,38,1028,0,0,4.69,147.53,24.520556,196.87383,2505.5434
13.28,39,1027.2,0,0,4.83,116.57,35.647353,210.98459,2236.1667
13.36,42,1027.2,0,0,5.35,109.65,48.566224,223.52814,1079.7043
12.68,49,1027.5,0,0,5.69,124.7,61.921788,234.45328,97.017519
0.62,45,1031.7,0,0,7.7,217.41,59.194427,127.6062,445.47816
0.82,44,1031.9,0,0,7.65,228.81,45.760553,138.9187,1411.1547
3.32,45,1032.3,0,0,5.19,236.31,33.020593,151.84501,2212.9796
7.06,47,1030.9,0,0,3.32,319.4,22.599143,166.22665,2522.2383
9.36,34,1029.1,0,0,7.73,332.24,18.662127,181.56566,2625.5014
8.86,41,1026.8,0,0,10.08,360,24.367718,196.79534,2577.2011
9.23,42,1027.1,0,0,10.5,5.91,35.504891,210.93869,2283.7003
9.21,44,1027,0,0,10.95,9.46,48.438368,223.50976,1086.2028
8.64,48,1027,0,0,9.53,10.89,61.810516,234.45592,103.20437
-2,99,1036.6,0,0,7.65,221.19,59.16669,127.53295,455.91293
-1.77,92,1037,0,0,9.18,228.18,45.82124,138.7627,1417.3211
0.78,81,1037.1,0,0,6.92,231.34,32.972619,151.77289,2224.3277
4.01,70,1036.3,0,0,4.02,243.43,22.528242,166.15308,2549.8831
6.32,62,1035.1,0,0,1.3,326.31,18.53492,181.45661,2637.6611
8.03,45,1030.6,0,0,6.19,35.54,24.210671,196.72028,2567.6217
8.93,42,1030.1,0,0,8.37,25.46,35.360702,210.89752,2293.5854
9.11,43,1030.5,0,0,10.59,17.82,48.310286,223.49696,1167.8618
8.46,47,1030.6,0,0,10.37,20.32,61.69987,234.46465,114.485
-0.48,56,1041.5,0,0,7.9,226.85,59.354669,127.28859,473.56029
-0.38,49,1042.1,0,0,7.9,226.85,45.878645,138.60401,1441.6025
1.6,43,1042.8,0,0,6.99,214.51,34.916885,149.40834,2175.1235
1.52,38,1046.8,0,0,10.32,209.25,59.459979,127.1029,487.39034
2.2,34,1046.6,0,0,10.5,202.17,45.932756,138.4427,1394.0949
4.7,34,1046.6,0,0,10.48,195.95,33.116754,151.3552,2183.2921
8.01,38,1045.1,0,0,7.57,182.73,22.469629,165.8201,2499.1097
10.59,33,1044,0,0,5.96,154.98,18.261132,181.24394,2675.5011
12.3,48,1042.4,0,0,9.45,17.74,23.884365,196.58075,2568.4284
12.29,50,1042.1,0,0,11.17,20.77,35.067678,210.82967,2246.8706
12,52,1042.2,0,0,11.38,18.43,48.057721,223.49136,1169.1853
11.88,52,1041.9,0,0,10.16,22.93,61.594298,234.58905,115.48638
3.45,26,1042.3,0,0,10.23,230.71,59.505047,126.95723,506.59034
3.47,31,1041.4,0,0,8.71,231.71,45.983564,138.27885,1437.5185
6.18,41,1041.2,0,0,5.69,251.57,33.120046,151.215,2222.6927
9.49,40,1040,0,0,2.62,285.95,22.415204,165.68476,2533.2102
