지점,일시,평균 기온(°C),평균 이슬점온도(°C),평균 현지기압(hPa),평균 풍속(m/s),합계 강수량(mm),평균 전운량,최고 기온(°C),평균 습도(%),평균 해면기압(hPa),중하층 운량,최저 기온(°C)
3,2020-03-10,.6,-.5,1010.6,.4,5,10,2.6,93,1011,10,-.5
3,2020-03-11,.8,-5.7,1010.4,4.6,0,2.4,5.5,63,1010.8,4.8,-4.2
3,2020-03-12,2.4,-2.7,1013.3,2.6,,6,9.4,71,1013.7,4.3,-6.2
3,2020-03-13,-1.3,-9.6,1018.8,5.3,,0,3,54,1019.2,,-5
3,2020-03-14,1,-3,1010.8,.4,,7,5.4,76,1011.2,6,-6
3,2020-03-15,1.3,-3.6,1009.1,2.6,.2,6.1,5,72,1009.5,6.3,-2
3,2020-03-16,.3,-5,1016.2,2.5,,3.4,4.5,68,1016.6,3.3,-3
3,2020-03-17,2.4,-1.4,1008.7,.9,,7,8,76,1009.1,7.7,-3
3,2020-03-18,4,1.6,1006.3,.3,,2.9,11.5,85,1006.7,,-1.3
3,2020-03-19,3.4,1,994.8,3.3,10,9.4,7.1,85,995.2,9.4,-.3
3,2020-03-20,5.3,-.6,1004.1,6,,2.8,11.8,67,1004.5,,1.2
3,2020-03-21,7.2,.3,1007.7,1.8,,1.3,13.3,64,1008.1,,-.9
3,2020-03-22,5.3,-1.4,1012.3,2,,1.6,11,63,1012.7,,-1.2
3,2020-03-23,4.8,-1.9,1015.9,2.1,,1.8,10,64,1016.3,,-2.1
3,2020-03-24,4.5,-1.6,1020.8,1.3,,0,10.1,66,1021.2,,.3
3,2020-03-25,2.6,1.2,1018.6,.9,0,7.5,5.5,90,1019,5,-2.7
3,2020-03-26,4.9,3.8,1015,2.1,,10,9,93,1015.4,8.1,-.5
3,2020-03-27,5.6,-4.9,1014.3,6.3,0,4.8,9.8,48,1014.7,9.5,3.4
3,2020-03-28,3,-5.2,1020.6,3.8,,0,9,56,1021,,-1.4
3,2020-03-29,2.9,-1.1,1020.9,1.3,,0,10.3,76,1021.3,,-4.3
3,2020-03-30,3.4,2,1018.3,1.5,,0,8.5,90,1018.7,,-2.3
3,2020-03-31,5.4,4.7,1015.4,1.4,,8.5,9.5,95,1015.8,6.3,.5
3,2020-04-01,8.9,-.7,1015.2,3.5,,7.4,13.9,53,1015.6,3.8,3.7
3,2020-04-02,11.2,.8,1013.4,3.1,,3.5,19.5,50,1013.8,0,2
3,2020-04-03,9,2.2,1011.9,4.3,,7,14,64,1012.3,3.3,4.8
3,2020-04-04,4,-3.3,1013.1,11.5,0,3.6,7.5,60,1013.5,4.4,0
3,2020-04-05,6.8,-1.7,1017.1,7.5,,0,13.5,56,1017.5,,2
3,2020-04-06,7.6,-.3,1015.8,2.1,,0,15.1,59,1016.2,,1.5
3,2020-04-07,6.5,-2.1,1012.7,7,,3.9,11.5,55,1013.1,5.3,.8
3,2020-04-08,5.1,1.1,1015.2,4.5,.1,10,10,76,1015.6,9.8,2
3,2020-04-09,5,1.9,1021.3,2,2.1,6,10.4,81,1021.7,8,1.2
