latitude,longitude
37.0,120.0
37.0,120.25
37.0,120.5
37.0,120.75
37.0,121.0
37.0,121.25
37.0,121.5
37.0,121.75
37.0,122.0
37.0,122.25
37.0,122.5
37.0,122.75
37.0,123.0
37.0,123.25
37.0,123.5
37.0,123.75
37.0,124.0
37.0,124.25
37.0,124.5
37.0,124.75
37.0,125.0
37.0,125.25
37.0,125.5
37.0,125.75
37.0,126.0
37.0,126.25
37.0,126.5
37.0,126.75
37.0,127.0
37.0,127.25
37.0,127.5
37.0,127.75
37.0,128.0
37.0,128.25
37.0,128.5
37.0,128.75
37.0,129.0
37.0,129.25
37.0,129.5
37.0,129.75
37.0,130.0
37.25,120.0
37.25,120.25
37.25,120.5
37.25,120.75
37.25,121.0
37.25,121.25
37.25,121.5
37.25,121.75
37.25,122.0
37.25,122.25
37.25,122.5
37.25,122.75
37.25,123.0
37.25,123.25
37.25,123.5
37.25,123.75
37.25,124.0
37.25,124.25
37.25,124.5
37.25,124.75
37.25,125.0
37.25,125.25
37.25,125.5
37.25,125.75
37.25,126.0
37.25,126.25
37.25,126.5
37.25,126.75
37.25,127.0
37.25,127.25
37.25,127.5
37.25,127.75
37.25,128.0
37.25,128.25
37.25,128.5
37.25,128.75
37.25,129.0
37.25,129.25
37.25,129.5
37.25,129.75
37.25,130.0
37.5,120.0
37.5,120.25
37.5,120.5
37.5,120.75
37.5,121.0
37.5,121.25
37.5,121.5
37.5,121.75
37.5,122.0
37.5,122.25
37.5,122.5
37.5,122.75
37.5,123.0
37.5,123.25
37.5,123.5
37.5,123.75
37.5,124.0
37.5,124.25
37.5,124.5
37.5,124.75
37.5,125.0
37.5,125.25
37.5,125.5
37.5,125.75
37.5,126.0
37.5,126.25
37.5,126.5
37.5,126.75
37.5,127.0
37.5,127.25
37.5,127.5
37.5,127.75
37.5,128.0
37.5,128.25
37.5,128.5
37.5,128.75
37.5,129.0
37.5,129.25
37.5,129.5
37.5,129.75
37.5,130.0
37.75,120.0
37.75,120.25
37.75,120.5
37.75,120.75
37.75,121.0
37.75,121.25
37.75,121.5
37.75,121.75
37.75,122.0
37.75,122.25
37.75,122.5
37.75,122.75
37.75,123.0
37.75,123.25
37.75,123.5
37.75,123.75
37.75,124.0
37.75,124.25
37.75,124.5
37.75,124.75
37.75,125.0
37.75,125.25
37.75,125.5
37.75,125.75
37.75,126.0
37.75,126.25
37.75,126.5
37.75,126.75
37.75,127.0
37.75,127.25
37.75,127.5
37.75,127.75
37.75,128.0
37.75,128.25
37.75,128.5
37.75,128.75
37.75,129.0
37.75,129.25
37.75,129.5
37.75,129.75
37.75,130.0
38.0,120.0
38.0,120.25
38.0,120.5
38.0,120.75
38.0,121.0
38.0,121.25
38.0,121.5
38.0,121.75
38.0,122.0
38.0,122.25
38.0,122.5
38.0,122.75
38.0,123.0
38.0,123.25
38.0,123.5
38.0,123.75
38.0,124.0
38.0,124.25
38.0,124.5
38.0,124.75
38.0,125.0
38.0,125.25
38.0,125.5
38.0,125.75
38.0,126.0
38.0,126.25
38.0,126.5
38.0,126.75
38.0,127.0
38.0,127.25
38.0,127.5
38.0,127.75
38.0,128.0
38.0,128.25
38.0,128.5
38.0,128.75
38.0,129.0
38.0,129.25
38.0,129.5
38.0,129.75
38.0,130.0
38.25,120.0
38.25,120.25
38.25,120.5
38.25,120.75
38.25,121.0
38.25,121.25
38.25,121.5
38.25,121.75
38.25,122.0
38.25,122.25
38.25,122.5
38.25,122.75
38.25,123.0
38.25,123.25
38.25,123.5
38.25,123.75
38.25,124.0
38.25,124.25
38.25,124.5
38.25,124.75
38.25,125.0
38.25,125.25
38.25,125.5
38.25,125.75
38.25,126.0
38.25,126.25
38.25,126.5
38.25,126.75
38.25,127.0
38.25,127.25
38.25,127.5
38.25,127.75
38.25,128.0
38.25,128.25
38.25,128.5
38.25,128.75
38.25,129.0
38.25,129.25
38.25,129.5
38.25,129.75
38.25,130.0
38.5,120.0
38.5,120.25
38.5,120.5
38.5,120.75
38.5,121.0
38.5,121.25
38.5,121.5
38.5,121.75
38.5,122.0
38.5,122.25
38.5,122.5
38.5,122.75
38.5,123.0
38.5,123.25
38.5,123.5
38.5,123.75
38.5,124.0
38.5,124.25
38.5,124.5
38.5,124.75
38.5,125.0
38.5,125.25
38.5,125.5
38.5,125.75
38.5,126.0
38.5,126.25
38.5,126.5
38.5,126.75
38.5,127.0
38.5,127.25
38.5,127.5
38.5,127.75
38.5,128.0
38.5,128.25
38.5,128.5
38.5,128.75
38.5,129.0
38.5,129.25
38.5,129.5
38.5,129.75
38.5,130.0
38.75,120.0
38.75,120.25
38.75,120.5
38.75,120.75
38.75,121.0
38.75,121.25
38.75,121.5
38.75,121.75
38.75,122.0
38.75,122.25
38.75,122.5
38.75,122.75
38.75,123.0
38.75,123.25
38.75,123.5
38.75,123.75
38.75,124.0
38.75,124.25
38.75,124.5
38.75,124.75
38.75,125.0
38.75,125.25
38.75,125.5
38.75,125.75
38.75,126.0
38.75,126.25
38.75,126.5
38.75,126.75
38.75,127.0
38.75,127.25
38.75,127.5
38.75,127.75
38.75,128.0
38.75,128.25
38.75,128.5
38.75,128.75
38.75,129.0
38.75,129.25
38.75,129.5
38.75,129.75
38.75,130.0
39.0,120.0
39.0,120.25
39.0,120.5
39.0,120.75
39.0,121.0
39.0,121.25
39.0,121.5
39.0,121.75
39.0,122.0
39.0,122.25
39.0,122.5
39.0,122.75
39.0,123.0
39.0,123.25
39.0,123.5
39.0,123.75
39.0,124.0
39.0,124.25
39.0,124.5
39.0,124.75
39.0,125.0
39.0,125.25
39.0,125.5
39.0,125.75
39.0,126.0
39.0,126.25
39.0,126.5
39.0,126.75
39.0,127.0
39.0,127.25
39.0,127.5
39.0,127.75
39.0,128.0
39.0,128.25
39.0,128.5
39.0,128.75
39.0,129.0
39.0,129.25
39.0,129.5
39.0,129.75
39.0,130.0
